cell_line,reported_sex,"XIST_expression (log thresholds = 6,8)",XIST_expression_category,"DDX3Y_expression (log thresholds = 6,7)",DDX3Y_expression_category,"EIF1AY_expression (log thresholds = 5,6)",EIF1AY_expression_category,"KDM5D_expression (log thresholds = 5,6)",KDM5D_expression_category,"NLGN4Y_expression (log thresholds = 4,5)",NLGN4Y_expression_category,"RPS4Y1_expression (log thresholds = 6,8)",RPS4Y1_expression_category,"TMSB4Y_expression (log thresholds = 2.5,3)",TMSB4Y_expression_category,"USP9Y_expression (log thresholds = 4,5)",USP9Y_expression_category,"UTY_expression (log thresholds = 4,5)",UTY_expression_category,"ZFY_expression (log thresholds = 4,5)",ZFY_expression_category
MHHCALL4_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,male,54,male_range,3042,high_expression,662,high_expression,983,high_expression,1,female_range,4905,high_expression,80,high_expression,690,high_expression,513,high_expression,275,high_expression
MHHES1_BONE,male,46,male_range,13,female_range,8,female_range,2,female_range,16,female_range,41,female_range,0,female_range,14,female_range,5,female_range,5,female_range
MHHNB11_AUTONOMIC_GANGLIA,male,82,male_range,28419,high_expression,3785,high_expression,10504,high_expression,1448,high_expression,74988,high_expression,221,high_expression,5739,high_expression,4360,high_expression,692,high_expression
MIAPACA2_PANCREAS,male,40,male_range,23,female_range,6,female_range,6,female_range,0,female_range,39,female_range,3,female_range,7,female_range,2,female_range,4,female_range
MINO_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,male,87,male_range,26814,high_expression,16195,high_expression,13672,high_expression,0,female_range,482,intermediate_expression,217,high_expression,8744,high_expression,4133,high_expression,4808,high_expression
MJ_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,male,53,male_range,34582,high_expression,12586,high_expression,10243,high_expression,1893,high_expression,52668,high_expression,89,high_expression,7730,high_expression,3443,high_expression,3459,high_expression
MKN1_STOMACH,male,87,male_range,26,female_range,13,female_range,11,female_range,39,female_range,128,female_range,1,female_range,16,female_range,10,female_range,11,female_range
MKN45_STOMACH,female,78350,high_expression,28,female_range,4,female_range,8,female_range,1,female_range,35,female_range,0,female_range,8,female_range,6,female_range,3,female_range
MKN74_STOMACH,male,67,male_range,17,female_range,9,female_range,9,female_range,5,female_range,30,female_range,0,female_range,10,female_range,6,female_range,5,female_range
MKN7_STOMACH,male,39,male_range,11,female_range,5,female_range,1,female_range,0,female_range,14,female_range,0,female_range,7,female_range,2,female_range,0,female_range
ML1_THYROID,NA,102164,high_expression,40,female_range,2,female_range,2,female_range,8,female_range,48,female_range,2,female_range,13,female_range,5,female_range,8,female_range
MM1S_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,NA,68218,high_expression,13,female_range,0,female_range,4,female_range,13,female_range,9,female_range,1,female_range,4,female_range,13,female_range,2,female_range
MOLM13_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,male,26,male_range,17599,high_expression,5033,high_expression,7591,high_expression,0,female_range,42241,high_expression,253,high_expression,16,female_range,2052,high_expression,2213,high_expression
MOLM16_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,female,54567,high_expression,31,female_range,2,female_range,7,female_range,3,female_range,60,female_range,1,female_range,19,female_range,16,female_range,16,female_range
MOLM6_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,male,49,male_range,34205,high_expression,7549,high_expression,24256,high_expression,0,female_range,124085,high_expression,559,high_expression,13126,high_expression,6450,high_expression,2303,high_expression
MOLP2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,male,73,male_range,33,female_range,3,female_range,13,female_range,0,female_range,60,female_range,2,female_range,12,female_range,5,female_range,5,female_range
MOLP8_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,male,115,male_range,25,female_range,6,female_range,3,female_range,3,female_range,43,female_range,0,female_range,5,female_range,13,female_range,11,female_range
MOLT13_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,female,75828,high_expression,24,female_range,6,female_range,4,female_range,49,female_range,68,female_range,0,female_range,3,female_range,7,female_range,7,female_range
MOLT16_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,female,121887,high_expression,17,female_range,8,female_range,5,female_range,3,female_range,41,female_range,6,female_range,10,female_range,6,female_range,3,female_range
MOLT3_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,male,82,male_range,29907,high_expression,11053,high_expression,11566,high_expression,772,high_expression,76551,high_expression,620,high_expression,11781,high_expression,5995,high_expression,3079,high_expression
MONOMAC1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,male,41,male_range,10643,high_expression,3866,high_expression,6759,high_expression,2,female_range,31833,high_expression,249,high_expression,2662,high_expression,2550,high_expression,2117,high_expression
MONOMAC6_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,male,30,male_range,26,female_range,0,female_range,5,female_range,0,female_range,32,female_range,2,female_range,2,female_range,6,female_range,0,female_range
MON_SOFT_TISSUE,NA,36,male_range,2,female_range,0,female_range,5,female_range,1,female_range,13,female_range,0,female_range,12,female_range,1,female_range,2,female_range
MORCPR_LUNG,NA,31,male_range,12,female_range,2,female_range,3,female_range,2,female_range,31,female_range,0,female_range,3,female_range,4,female_range,5,female_range
MPP89_PLEURA,male,49,male_range,40252,high_expression,15003,high_expression,10901,high_expression,4340,high_expression,81357,high_expression,2,female_range,12551,high_expression,6768,high_expression,5302,high_expression
MSTO211H_PLEURA,male,43,male_range,12576,high_expression,4274,high_expression,4380,high_expression,1202,high_expression,45703,high_expression,7,female_range,4111,high_expression,2326,high_expression,1540,high_expression
MUTZ3_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,male,57,male_range,12099,high_expression,2965,high_expression,9496,high_expression,2,female_range,19860,high_expression,210,high_expression,4537,high_expression,3358,high_expression,2332,high_expression
MUTZ5_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,male,71,male_range,26,female_range,4,female_range,9,female_range,55,intermediate_expression,43,female_range,7,female_range,8,female_range,3,female_range,11,female_range
MV411_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,male,28,male_range,20556,high_expression,4109,high_expression,11217,high_expression,14,female_range,61936,high_expression,273,high_expression,73,intermediate_expression,2487,high_expression,2145,high_expression
NALM19_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,male,80,male_range,30628,high_expression,8716,high_expression,11700,high_expression,7,female_range,24502,high_expression,637,high_expression,6663,high_expression,5681,high_expression,4517,high_expression
NALM1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,female,95,male_range,30,female_range,5,female_range,6,female_range,0,female_range,77,female_range,2,female_range,14,female_range,3,female_range,0,female_range
NALM6_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,male,33,male_range,24248,high_expression,5420,high_expression,23,female_range,0,female_range,31409,high_expression,1458,high_expression,15075,high_expression,5522,high_expression,2582,high_expression
NAMALWA_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,female,86,male_range,15,female_range,8,female_range,7,female_range,4,female_range,46,female_range,0,female_range,4,female_range,2,female_range,6,female_range
NB1_AUTONOMIC_GANGLIA,male,22,male_range,15,female_range,4,female_range,7,female_range,42,female_range,36,female_range,1,female_range,4,female_range,2,female_range,2,female_range
NB4_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,female,52,male_range,28,female_range,6,female_range,6,female_range,3,female_range,43,female_range,2,female_range,9,female_range,10,female_range,5,female_range
NCCSTCK140_STOMACH,female,102,male_range,38,female_range,4,female_range,12,female_range,4,female_range,81,female_range,0,female_range,12,female_range,7,female_range,10,female_range
NCIH1048_LUNG,female,31082,high_expression,15,female_range,8,female_range,9,female_range,10,female_range,26,female_range,2,female_range,1,female_range,3,female_range,2,female_range
NCIH1092_LUNG,male,51,male_range,9430,high_expression,4618,high_expression,5710,high_expression,1911,high_expression,11571,high_expression,210,high_expression,9197,high_expression,2658,high_expression,1994,high_expression
NCIH1105_LUNG,male,79,male_range,28,female_range,4,female_range,10,female_range,6,female_range,28,female_range,2,female_range,17,female_range,10,female_range,6,female_range
NCIH1155_LUNG,male,49,male_range,32,female_range,2,female_range,3,female_range,2,female_range,37,female_range,4,female_range,9,female_range,1,female_range,6,female_range
NCIH1184_LUNG,male,70,male_range,13,female_range,5,female_range,9,female_range,6,female_range,20936,high_expression,1,female_range,14,female_range,6,female_range,2871,high_expression
NCIH1299_LUNG,male,41,male_range,13,female_range,1,female_range,8,female_range,0,female_range,17,female_range,1,female_range,9,female_range,4,female_range,2,female_range
NCIH1339_LUNG,female,69,male_range,13,female_range,11909,high_expression,19240,high_expression,4961,high_expression,21,female_range,1347,high_expression,4,female_range,1,female_range,2,female_range
NCIH1341_LUNG,female,94383,high_expression,23,female_range,15,female_range,13,female_range,22,female_range,36,female_range,2,female_range,14,female_range,4,female_range,8,female_range
NCIH1355_LUNG,male,85,male_range,54,female_range,2,female_range,18,female_range,1,female_range,70,female_range,3,female_range,13,female_range,4,female_range,11,female_range
NCIH1373_LUNG,male,49,male_range,26,female_range,14,female_range,17,female_range,1,female_range,126,female_range,0,female_range,17,female_range,7,female_range,15,female_range
NCIH1385_LUNG,NA,93,male_range,26,female_range,3,female_range,7,female_range,0,female_range,45,female_range,0,female_range,3,female_range,4,female_range,4,female_range
NCIH1395_LUNG,female,158,male_range,37,female_range,15,female_range,7,female_range,2,female_range,95,female_range,4,female_range,10,female_range,6,female_range,3,female_range
NCIH1435_LUNG,female,33724,high_expression,7,female_range,2,female_range,3,female_range,2,female_range,38,female_range,0,female_range,7,female_range,3,female_range,6,female_range
NCIH1436_LUNG,male,50,male_range,20,female_range,2,female_range,7,female_range,0,female_range,22,female_range,0,female_range,9,female_range,5,female_range,1,female_range
NCIH1437_LUNG,male,79,male_range,14,female_range,11,female_range,13,female_range,3,female_range,18,female_range,2,female_range,4,female_range,8,female_range,6,female_range
NCIH146_LUNG,male,948,intermediate_expression,17,female_range,0,female_range,4,female_range,3,female_range,30,female_range,2,female_range,21,female_range,3,female_range,4,female_range
NCIH1563_LUNG,male,62,male_range,26948,high_expression,8930,high_expression,14042,high_expression,9048,high_expression,57269,high_expression,172,high_expression,20136,high_expression,3538,high_expression,6151,high_expression
NCIH1568_LUNG,female,45,male_range,13,female_range,0,female_range,5,female_range,2,female_range,22,female_range,0,female_range,7,female_range,2,female_range,4,female_range
NCIH1573_LUNG,female,83,male_range,17,female_range,0,female_range,9,female_range,34,female_range,28,female_range,0,female_range,7,female_range,5,female_range,0,female_range
NCIH1581_LUNG,male,51,male_range,3259,high_expression,846,high_expression,1820,high_expression,0,female_range,6840,high_expression,95,high_expression,533,high_expression,312,high_expression,349,high_expression
NCIH1618_LUNG,female,71,male_range,22,female_range,4,female_range,16,female_range,82,intermediate_expression,30,female_range,0,female_range,16,female_range,9,female_range,2,female_range
NCIH1623_LUNG,male,68,male_range,20,female_range,5,female_range,7,female_range,4,female_range,66,female_range,0,female_range,10,female_range,9,female_range,4,female_range
NCIH1648_LUNG,male,69,male_range,14963,high_expression,3753,high_expression,7558,high_expression,799,high_expression,36472,high_expression,294,high_expression,7240,high_expression,3636,high_expression,2376,high_expression
NCIH1650_LUNG,male,60,male_range,13,female_range,4,female_range,3,female_range,2,female_range,24,female_range,0,female_range,17,female_range,4,female_range,6,female_range
NCIH1651_LUNG,male,43,male_range,12280,high_expression,4414,high_expression,9766,high_expression,958,high_expression,22,female_range,242,high_expression,6733,high_expression,2601,high_expression,1,female_range
NCIH1666_LUNG,female,44704,high_expression,16,female_range,5,female_range,5,female_range,2,female_range,17,female_range,1,female_range,12,female_range,5,female_range,0,female_range
NCIH1693_LUNG,female,49,male_range,25,female_range,5,female_range,7,female_range,0,female_range,45,female_range,2,female_range,9,female_range,2,female_range,5,female_range
NCIH1694_LUNG,male,75,male_range,21,female_range,4,female_range,2,female_range,4,female_range,18,female_range,2,female_range,9,female_range,12,female_range,6,female_range
NCIH1703_LUNG,male,66,male_range,23360,high_expression,4818,high_expression,4385,high_expression,2407,high_expression,39548,high_expression,204,high_expression,8471,high_expression,1704,high_expression,1954,high_expression
NCIH1734_LUNG,female,74,male_range,24,female_range,15,female_range,5,female_range,1,female_range,65,female_range,4,female_range,9,female_range,2,female_range,7,female_range
NCIH1755_LUNG,female,47523,high_expression,29,female_range,4,female_range,2,female_range,2,female_range,68,female_range,2,female_range,9,female_range,1,female_range,4,female_range
NCIH1781_LUNG,female,68,male_range,21,female_range,1,female_range,5,female_range,0,female_range,45,female_range,4,female_range,12,female_range,8,female_range,2,female_range
NCIH1792_LUNG,male,20,male_range,13,female_range,4,female_range,3,female_range,0,female_range,25,female_range,0,female_range,3,female_range,0,female_range,2,female_range
NCIH1793_LUNG,female,101,male_range,27,female_range,15,female_range,9,female_range,0,female_range,42,female_range,0,female_range,14,female_range,0,female_range,9,female_range
NCIH1819_LUNG,NA,18,male_range,9,female_range,0,female_range,9,female_range,6,female_range,17,female_range,0,female_range,2,female_range,0,female_range,2,female_range
NCIH1836_LUNG,male,100,male_range,16,female_range,16,female_range,13,female_range,7,female_range,7039,high_expression,1,female_range,6,female_range,7,female_range,1725,high_expression
NCIH1838_LUNG,female,19268,high_expression,33,female_range,12,female_range,5,female_range,2,female_range,86,female_range,0,female_range,4,female_range,5,female_range,7,female_range
NCIH1869_LUNG,male,55,male_range,23,female_range,4,female_range,11,female_range,2,female_range,60,female_range,3,female_range,7,female_range,4,female_range,0,female_range
NCIH1876_LUNG,male,84,male_range,8465,high_expression,3226,high_expression,7025,high_expression,1264,high_expression,15180,high_expression,170,high_expression,9502,high_expression,2715,high_expression,1927,high_expression
NCIH1915_LUNG,female,150,male_range,37,female_range,4,female_range,0,female_range,4,female_range,53,female_range,3,female_range,6,female_range,6,female_range,2,female_range
NCIH1930_LUNG,male,72,male_range,14,female_range,2,female_range,5,female_range,23,female_range,25,female_range,0,female_range,4,female_range,5,female_range,1,female_range
NCIH1944_LUNG,female,98031,high_expression,43,female_range,6,female_range,7,female_range,90,intermediate_expression,55,female_range,2,female_range,5,female_range,2,female_range,13,female_range
NCIH1963_LUNG,male,81,male_range,17285,high_expression,15,female_range,19,female_range,3161,high_expression,15978,high_expression,495,high_expression,20358,high_expression,5446,high_expression,4524,high_expression
NCIH196_LUNG,male,71,male_range,7777,high_expression,1854,high_expression,3810,high_expression,788,high_expression,13248,high_expression,272,high_expression,3280,high_expression,1570,high_expression,2674,high_expression
NCIH1975_LUNG,female,22,male_range,8,female_range,0,female_range,6,female_range,0,female_range,25,female_range,0,female_range,4,female_range,1,female_range,4,female_range
NCIH2004RT_SOFT_TISSUE,NA,15,male_range,24944,high_expression,3423,high_expression,6367,high_expression,1942,high_expression,69911,high_expression,317,high_expression,6991,high_expression,2302,high_expression,2901,high_expression
NCIH2009_LUNG,female,37,male_range,11,female_range,2,female_range,4,female_range,0,female_range,25,female_range,0,female_range,2,female_range,0,female_range,2,female_range
NCIH2023_LUNG,male,157,male_range,25,female_range,0,female_range,3,female_range,4,female_range,78,female_range,2,female_range,7,female_range,9,female_range,4,female_range
NCIH2029_LUNG,female,69,male_range,14,female_range,2,female_range,15,female_range,0,female_range,14,female_range,0,female_range,6,female_range,3,female_range,2,female_range
NCIH2030_LUNG,male,72,male_range,22,female_range,7,female_range,0,female_range,0,female_range,145329,high_expression,0,female_range,7,female_range,2,female_range,8334,high_expression
NCIH2052_PLEURA,male,149,male_range,44,female_range,15,female_range,20,female_range,11,female_range,57,female_range,5,female_range,35,female_range,12,female_range,8,female_range
NCIH2066_LUNG,female,78091,high_expression,27,female_range,10,female_range,27,female_range,1,female_range,40,female_range,2,female_range,24,female_range,12,female_range,7,female_range
NCIH2073_LUNG,female,62728,high_expression,19,female_range,4,female_range,4,female_range,2,female_range,53,female_range,2,female_range,4,female_range,8,female_range,5,female_range
NCIH2077_LUNG,NA,37,male_range,19,female_range,1,female_range,7,female_range,0,female_range,19,female_range,0,female_range,3,female_range,4,female_range,0,female_range
NCIH2081_LUNG,female,152174,high_expression,14,female_range,9,female_range,6,female_range,7,female_range,19,female_range,0,female_range,12,female_range,4,female_range,0,female_range
NCIH2085_LUNG,male,71,male_range,30305,high_expression,5514,high_expression,12301,high_expression,1583,high_expression,68402,high_expression,350,high_expression,18097,high_expression,4490,high_expression,4298,high_expression
NCIH2087_LUNG,male,44,male_range,23,female_range,7,female_range,5,female_range,0,female_range,45,female_range,1,female_range,13,female_range,2,female_range,4,female_range
NCIH209_LUNG,male,72,male_range,12305,high_expression,8336,high_expression,11792,high_expression,1925,high_expression,25430,high_expression,645,high_expression,9862,high_expression,4028,high_expression,2966,high_expression
NCIH2106_LUNG,male,106,male_range,9227,high_expression,4768,high_expression,7172,high_expression,0,female_range,44,female_range,5,female_range,130,intermediate_expression,2105,high_expression,1858,high_expression
NCIH2110_LUNG,NA,74,male_range,30,female_range,3,female_range,5,female_range,0,female_range,48,female_range,1,female_range,16,female_range,8,female_range,5,female_range
NCIH211_LUNG,female,75,male_range,25,female_range,8,female_range,7,female_range,0,female_range,23,female_range,0,female_range,10,female_range,7,female_range,4,female_range
NCIH2122_LUNG,female,28018,high_expression,8,female_range,6,female_range,0,female_range,0,female_range,19,female_range,0,female_range,3,female_range,0,female_range,0,female_range
NCIH2126_LUNG,male,170,male_range,14,female_range,2793,high_expression,5103,high_expression,0,female_range,29,female_range,5,female_range,8,female_range,5,female_range,5,female_range
NCIH2170_LUNG,male,86,male_range,30,female_range,7,female_range,12,female_range,6,female_range,35,female_range,2,female_range,15,female_range,7,female_range,6,female_range
NCIH2171_LUNG,male,34,male_range,14264,high_expression,4478,high_expression,6115,high_expression,880,high_expression,19328,high_expression,2324,high_expression,8009,high_expression,2712,high_expression,1605,high_expression
NCIH2172_LUNG,female,253,male_range,36,female_range,2,female_range,2,female_range,0,female_range,59,female_range,8,female_range,8,female_range,5,female_range,6,female_range
NCIH2196_LUNG,male,75,male_range,31671,high_expression,10106,high_expression,23288,high_expression,4857,high_expression,27210,high_expression,1677,high_expression,14810,high_expression,9153,high_expression,5166,high_expression
NCIH2227_LUNG,male,78055,high_expression,15,female_range,5,female_range,6,female_range,0,female_range,10679,high_expression,0,female_range,0,female_range,1,female_range,1671,high_expression
NCIH2228_LUNG,female,66,male_range,30,female_range,6,female_range,14,female_range,0,female_range,54,female_range,1,female_range,9,female_range,4,female_range,5,female_range
NCIH226_LUNG,male,16,male_range,17233,high_expression,3790,high_expression,1994,high_expression,2302,high_expression,46292,high_expression,116,high_expression,3398,high_expression,1609,high_expression,2608,high_expression
NCIH2286_LUNG,female,90,male_range,15,female_range,2,female_range,5,female_range,0,female_range,25,female_range,4,female_range,11,female_range,2,female_range,4,female_range
NCIH2291_LUNG,male,183,male_range,9052,high_expression,16,female_range,15,female_range,4,female_range,33025,high_expression,185,high_expression,5577,high_expression,1870,high_expression,1429,high_expression
NCIH2342_LUNG,male,37,male_range,13496,high_expression,5,female_range,7,female_range,3,female_range,31041,high_expression,326,high_expression,4512,high_expression,2975,high_expression,2110,high_expression
NCIH2347_LUNG,female,22918,high_expression,19,female_range,2,female_range,2,female_range,2,female_range,25,female_range,0,female_range,8,female_range,0,female_range,4,female_range
NCIH23_LUNG,male,46,male_range,14,female_range,8,female_range,6,female_range,2,female_range,40,female_range,0,female_range,12,female_range,5,female_range,1,female_range
NCIH2405_LUNG,male,50,male_range,20,female_range,8,female_range,6,female_range,2,female_range,42372,high_expression,2,female_range,9,female_range,3,female_range,3514,high_expression
NCIH2444_LUNG,male,72,male_range,34,female_range,5,female_range,11,female_range,2,female_range,51,female_range,1,female_range,6,female_range,1,female_range,0,female_range
NCIH2452_PLEURA,male,40,male_range,26056,high_expression,4819,high_expression,5123,high_expression,750,high_expression,24744,high_expression,59,high_expression,5015,high_expression,4098,high_expression,2934,high_expression
NCIH2882_LUNG,NA,50370,high_expression,14,female_range,5,female_range,3,female_range,167,high_expression,51,female_range,2,female_range,5,female_range,3,female_range,2,female_range
NCIH2887_LUNG,NA,33,male_range,23863,high_expression,13123,high_expression,4468,high_expression,481,high_expression,28,female_range,4568,high_expression,4635,high_expression,2610,high_expression,4,female_range
NCIH28_PLEURA,male,52,male_range,16046,high_expression,4101,high_expression,4795,high_expression,2081,high_expression,55058,high_expression,180,high_expression,6682,high_expression,1809,high_expression,1693,high_expression
NCIH292_LUNG,female,755,intermediate_expression,26,female_range,4,female_range,6,female_range,2,female_range,49,female_range,0,female_range,3,female_range,4,female_range,6,female_range
NCIH3122_LUNG,NA,20,male_range,29,female_range,4,female_range,6,female_range,0,female_range,32,female_range,0,female_range,13,female_range,7,female_range,3,female_range
NCIH322_LUNG,male,82,male_range,9956,high_expression,3711,high_expression,5948,high_expression,658,high_expression,20054,high_expression,294,high_expression,4693,high_expression,1846,high_expression,2086,high_expression
NCIH3255_LUNG,NA,63033,high_expression,25,female_range,8,female_range,6,female_range,2,female_range,69,female_range,1,female_range,5,female_range,7,female_range,0,female_range
NCIH358_LUNG,male,87,male_range,10558,high_expression,3565,high_expression,4353,high_expression,450,high_expression,30142,high_expression,1216,high_expression,5262,high_expression,2001,high_expression,1617,high_expression
NCIH441_LUNG,NA,51,male_range,3130,high_expression,857,high_expression,1331,high_expression,1,female_range,42,female_range,98,high_expression,1619,high_expression,752,high_expression,587,high_expression
NCIH446_LUNG,male,4291,high_expression,12105,high_expression,2651,high_expression,5470,high_expression,127,intermediate_expression,20508,high_expression,280,high_expression,2735,high_expression,1809,high_expression,807,high_expression
NCIH460_LUNG,male,23,male_range,27355,high_expression,12082,high_expression,7811,high_expression,2695,high_expression,97641,high_expression,197,high_expression,2507,high_expression,2037,high_expression,1460,high_expression
NCIH508_LARGE_INTESTINE,male,86,male_range,15,female_range,9,female_range,2,female_range,0,female_range,39,female_range,3,female_range,5,female_range,2,female_range,5,female_range
NCIH510_LUNG,male,2947,intermediate_expression,11,female_range,12,female_range,9,female_range,3,female_range,13719,high_expression,1,female_range,6,female_range,8,female_range,2585,high_expression
NCIH520_LUNG,male,48,male_range,27,female_range,3,female_range,3,female_range,0,female_range,38,female_range,0,female_range,5,female_range,4,female_range,5,female_range
NCIH522_LUNG,male,36,male_range,100,female_range,52,female_range,58,female_range,3,female_range,133,female_range,4,female_range,46,female_range,18,female_range,30,female_range
NCIH524_LUNG,male,47,male_range,16,female_range,3,female_range,2,female_range,7,female_range,7,female_range,1,female_range,16,female_range,5,female_range,1,female_range
NCIH526_LUNG,male,305,male_range,5490,high_expression,3112,high_expression,4577,high_expression,959,high_expression,11390,high_expression,403,high_expression,3219,high_expression,1973,high_expression,660,high_expression
NCIH596_LUNG,male,44,male_range,22,female_range,10,female_range,7,female_range,0,female_range,54,female_range,2,female_range,14,female_range,9,female_range,0,female_range
NCIH647_LUNG,male,333,male_range,25,female_range,5,female_range,1,female_range,1,female_range,63,female_range,2,female_range,17,female_range,2,female_range,1,female_range
NCIH650_LUNG,male,46,male_range,11,female_range,2,female_range,2,female_range,24,female_range,21,female_range,0,female_range,2,female_range,4,female_range,2,female_range
NCIH660_PROSTATE,male,38,male_range,21,female_range,1,female_range,3,female_range,4,female_range,31,female_range,1,female_range,6,female_range,2,female_range,9,female_range
NCIH661_LUNG,male,169,male_range,15260,high_expression,4496,high_expression,7501,high_expression,11,female_range,22806,high_expression,235,high_expression,4552,high_expression,2816,high_expression,2389,high_expression
NCIH684_LIVER,NA,53,male_range,821,intermediate_expression,619,high_expression,1026,high_expression,0,female_range,8737,high_expression,38,high_expression,390,high_expression,273,high_expression,249,high_expression
NCIH69_LUNG,male,77,male_range,13069,high_expression,7856,high_expression,11593,high_expression,5,female_range,22106,high_expression,7,female_range,9134,high_expression,3213,high_expression,1938,high_expression
NCIH716_LARGE_INTESTINE,male,95,male_range,10,female_range,5,female_range,7,female_range,2,female_range,34,female_range,0,female_range,5,female_range,1,female_range,2,female_range
NCIH727_LUNG,female,45,male_range,41,female_range,7,female_range,16,female_range,0,female_range,66,female_range,0,female_range,7,female_range,13,female_range,5,female_range
NCIH747_LARGE_INTESTINE,male,147,male_range,5406,high_expression,1493,high_expression,1480,high_expression,4,female_range,14239,high_expression,710,high_expression,1510,high_expression,1564,high_expression,983,high_expression
NCIH810_LUNG,male,87,male_range,10563,high_expression,2,female_range,3,female_range,2526,high_expression,205525,high_expression,185,high_expression,4706,high_expression,2793,high_expression,12928,high_expression
NCIH82_LUNG,male,136,male_range,9,female_range,0,female_range,6,female_range,0,female_range,12,female_range,0,female_range,9,female_range,7,female_range,2,female_range
NCIH838_LUNG,male,76,male_range,27,female_range,1,female_range,6,female_range,8,female_range,27,female_range,1,female_range,2,female_range,2,female_range,3,female_range
NCIH841_LUNG,male,84,male_range,40723,high_expression,7232,high_expression,13377,high_expression,972,high_expression,112186,high_expression,669,high_expression,9138,high_expression,4705,high_expression,2723,high_expression
NCIH854_LUNG,NA,52,male_range,1116,high_expression,5,female_range,5,female_range,0,female_range,29,female_range,51,high_expression,305,high_expression,272,high_expression,1,female_range
NCIH889_LUNG,female,34672,high_expression,14,female_range,8,female_range,5,female_range,10,female_range,13,female_range,0,female_range,2,female_range,3,female_range,6,female_range
NCIH929_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,female,70,male_range,34,female_range,4,female_range,2,female_range,4,female_range,56,female_range,2,female_range,6,female_range,3,female_range,10,female_range
NCIN87_STOMACH,male,63,male_range,22219,high_expression,7065,high_expression,11518,high_expression,3,female_range,105259,high_expression,818,high_expression,9168,high_expression,5222,high_expression,4829,high_expression
NCO2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,female,83,male_range,27,female_range,10,female_range,7,female_range,4,female_range,52,female_range,1,female_range,7,female_range,5,female_range,4,female_range
NH6_AUTONOMIC_GANGLIA,female,182165,high_expression,26,female_range,8,female_range,1,female_range,42,female_range,51,female_range,0,female_range,3,female_range,4,female_range,3,female_range
NHAHTDD_CENTRAL_NERVOUS_SYSTEM,NA,12,male_range,9610,high_expression,3397,high_expression,6156,high_expression,1210,high_expression,33695,high_expression,8,female_range,6234,high_expression,2993,high_expression,3463,high_expression
NIHOVCAR3_OVARY,female,29062,high_expression,31,female_range,6,female_range,7,female_range,8,female_range,32,female_range,1,female_range,7,female_range,3,female_range,1,female_range
NMCG1_CENTRAL_NERVOUS_SYSTEM,NA,80628,high_expression,22,female_range,6,female_range,5,female_range,2,female_range,51,female_range,2,female_range,2,female_range,2,female_range,0,female_range
NOMO1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,female,72518,high_expression,20,female_range,5,female_range,2,female_range,0,female_range,24,female_range,8,female_range,4,female_range,0,female_range,1,female_range
NUDHL1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,male,56,male_range,19082,high_expression,6966,high_expression,5443,high_expression,34,female_range,90307,high_expression,239,high_expression,5050,high_expression,4483,high_expression,3236,high_expression
NUDUL1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,male,67,male_range,34,female_range,4,female_range,4,female_range,0,female_range,66,female_range,2,female_range,16,female_range,2,female_range,6,female_range
NUGC2_STOMACH,female,86,male_range,36,female_range,7,female_range,8,female_range,2,female_range,60,female_range,0,female_range,9,female_range,0,female_range,3,female_range
NUGC3_STOMACH,male,53,male_range,33,female_range,12,female_range,21,female_range,2,female_range,83,female_range,0,female_range,13,female_range,8,female_range,15,female_range
NUGC4_STOMACH,female,1546,intermediate_expression,19,female_range,1,female_range,4,female_range,2,female_range,30,female_range,0,female_range,9,female_range,3,female_range,1,female_range
OAW28_OVARY,female,43,male_range,10,female_range,4,female_range,5,female_range,0,female_range,61,female_range,2,female_range,8,female_range,5,female_range,3,female_range
OAW42_OVARY,female,7426,high_expression,23,female_range,3,female_range,6,female_range,11,female_range,36,female_range,0,female_range,7,female_range,9,female_range,4,female_range
